epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1564.66,2.58882,9.13465,3.66651,0.57605,0.09091,0.07392,0.03466,3.73826,14.2048,5.56095,0.00041423,0.00041423,0.00041423
2,2663.19,2.78092,6.89521,3.66327,0.43471,0.19498,0.16608,0.0795,3.88459,8.38133,5.53666,0.000814445,0.000814445,0.000814445
3,3749.9,2.86336,5.6597,3.66963,0.33356,0.23387,0.11394,0.05669,4.11709,8.44573,6.15257,0.00119816,0.00119816,0.00119816
4,4810.82,2.93689,5.12628,3.68893,0.14896,0.2409,0.09344,0.03327,4.32946,8.39743,6.39189,0.00117575,0.00117575,0.00117575
5,5869.87,2.86784,4.76712,3.5909,0.32069,0.41635,0.32021,0.14419,3.84861,5.06262,5.36552,0.001151,0.001151,0.001151
6,6933.15,2.86156,4.61178,3.57459,0.32118,0.32914,0.28137,0.12019,3.91416,4.94433,5.05221,0.00112625,0.00112625,0.00112625
7,7999.83,2.83199,4.46065,3.55401,0.36654,0.38377,0.31683,0.17309,3.6145,4.79754,4.92784,0.0011015,0.0011015,0.0011015
8,9090.19,2.79749,4.3522,3.54898,0.41308,0.41122,0.37435,0.19916,3.69143,4.31099,4.97937,0.00107675,0.00107675,0.00107675
9,10186.6,2.82646,4.24563,3.56136,0.39735,0.35813,0.25658,0.1246,3.85792,5.1436,5.30531,0.001052,0.001052,0.001052
10,11275,2.72303,4.17031,3.46225,0.45284,0.47846,0.45062,0.22487,3.7587,3.92254,5.02505,0.00102725,0.00102725,0.00102725
11,12364.9,2.75618,4.0903,3.48094,0.47424,0.46888,0.43488,0.22595,3.67952,4.13322,5.07235,0.0010025,0.0010025,0.0010025
12,13452.5,2.7047,4.01741,3.45878,0.43736,0.43693,0.43128,0.23072,3.71011,3.74499,5.12163,0.00097775,0.00097775,0.00097775
13,14532.3,2.672,3.94184,3.43826,0.48936,0.48793,0.47162,0.23694,3.75356,3.8373,5.12887,0.000953,0.000953,0.000953
14,15628.2,2.67348,3.87012,3.40362,0.49065,0.38849,0.41523,0.21064,3.75853,4.06748,4.98191,0.00092825,0.00092825,0.00092825
